s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/202586,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/204432,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/204594,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/204659,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/204711,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/205547,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/205550,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/206309,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/206310,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/206870,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/207113,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/101573,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/210175,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/213736,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/213737,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/213738,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/213861,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/214078,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/214079,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/214252,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/215196,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192232,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/194264,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/196331,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/198142,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/198143,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/198259,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/198729,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/199383,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/199384,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/199385,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/199386,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/199664,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/201264,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/201265,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/201266,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/201918,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192199,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192200,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192207,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192220,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192194,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192248,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192252,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192306,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192321,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192298,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192299,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192364,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192366,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192376,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192407,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192408,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192415,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192420,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192424,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192429,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192440,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/564576,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192458,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192460,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192514,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192527,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192536,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192542,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192543,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192507,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192551,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192552,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192555,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192560,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192582,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192602,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192620,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192601,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192647,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192649,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192660,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192670,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192683,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192706,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192708,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192731,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192750,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192752,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192759,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192770,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192782,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192799,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/831237,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192818,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192832,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192836,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192852,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192856,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192862,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192874,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192878,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192881,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
http://rdf.geohistoricaldata.org/id/directories/entry/192883,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://rdf.geohistoricaldata.org/def/directory#Entry
